"STATION","NAME","DATE","TMAX","TMIN"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-18","59","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-19","58","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-20","57","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-21","60","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-22","62","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-23","63","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-24","63","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-25","59","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-26","59","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-27",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-28","59","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-29","59","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-30","56","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-31","62","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-01","62","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-02","62","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-03","62","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-04","62","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-05","60","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-06",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-07","62","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-08",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-09",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-10","64","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-11","63","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-12","62","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-13","60","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-14","60","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-15",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-16",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-17",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-18","62","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-19","62","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-20","63","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-21","63","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-22","62","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-23","61","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-24","59","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-25","57","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-26","57","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-27","57","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-28","60","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-29","65","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-30","66","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-01",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-02","71","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-03","65","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-04","68","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-05","64","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-06","63","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-07","75","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-08","75","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-09","75","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-10",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-11",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-10-12",,
