"STATION,""NAME"",""DATE"",""TMAX"",""TMIN"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-23"",""65"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-24"",""65"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-25"",""64"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-26"",""61"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-27"",""59"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-28"",""65"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-29"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-30"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-31"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-01"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-02"",""63"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-03"",""71"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-04"",""68"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-05"",""66"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-06"",""69"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-07"",""59"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-08"",""68"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-09"",""72"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-10"",""66"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-11"",""69"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-12"",""67"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-13"",""61"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-14"",""63"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-15"",""67"",""58"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-16"",""66"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-17"",""65"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-18"",""66"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-19"",""64"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-20"",""61"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-21"",""64"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-22"",""67"",""58"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-23"",""66"",""59"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-24"",""66"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-25"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-26"",""66"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-27"",""68"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-28"",""68"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-29"",""71"",""58"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-30"",""68"",""58"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-08-31"",""66"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-01"",""64"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-02"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-03"",""65"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-04"",""66"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-05"",""62"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-06"",""61"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-07"",""66"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-08"",""69"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-09"",""70"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-10"",""73"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-11"",""69"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-12"",""63"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-13"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-14"",""65"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-15"",""62"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-09-16"",""66"",""55"""
